,State,Area_name,Latitude,Longitude
1,AL,Autauga,+32.536382°,–86.644490°
2,AL,Baldwin,+30.659218°,–87.746067°
3,AL,Barbour,+31.870670°,–85.405456°
4,AL,Bibb,+33.015893°,–87.127148°
5,AL,Blount,+33.977448°,–86.567246°
6,AL,Bullock,+32.101759°,–85.717261°
7,AL,Butler,+31.751667°,–86.681969°
8,AL,Calhoun,+33.771706°,–85.822513°
9,AL,Chambers,+32.917943°,–85.391812°
10,AL,Cherokee,+34.069515°,–85.654242°
11,AL,Chilton,+32.854060°,–86.726628°
12,AL,Choctaw,+31.991008°,–88.248887°
13,AL,Clarke,+31.685521°,–87.818624°
14,AL,Clay,+33.267809°,–85.862051°
15,AL,Cleburne,+33.671981°,–85.516109°
16,AL,Coffee,+31.402183°,–85.989201°
17,AL,Colbert,+34.703112°,–87.801457°
18,AL,Conecuh,+31.428293°,–86.992029°
19,AL,Coosa,+32.931445°,–86.243482°
20,AL,Covington,+31.243987°,–86.448721°
21,AL,Crenshaw,+31.732826°,–86.319222°
22,AL,Cullman,+34.131923°,–86.869267°
23,AL,Dale,+31.430654°,–85.609476°
24,AL,Dallas,+32.333540°,–87.114356°
25,AL,DeKalb,+34.460929°,–85.803992°
26,AL,Elmore,+32.597229°,–86.142739°
27,AL,Escambia,+31.121748°,–87.168429°
28,AL,Etowah,+34.047638°,–86.034420°
29,AL,Fayette,+33.732249°,–87.752049°
30,AL,Franklin,+34.441988°,–87.842815°
31,AL,Geneva,+31.090866°,–85.824346°
32,AL,Greene,+32.844497°,–87.964201°
33,AL,Hale,+32.752796°,–87.623061°
34,AL,Henry,+31.516978°,–85.239971°
35,AL,Houston,+31.158193°,–85.296398°
36,AL,Jackson,+34.763522°,–85.977400°
37,AL,Jefferson,+33.553444°,–86.896536°
38,AL,Lamar,+33.787085°,–88.087431°
39,AL,Lauderdale,+34.904122°,–87.650997°
40,AL,Lawrence,+34.529776°,–87.321865°
41,AL,Lee,+32.604064°,–85.353048°
42,AL,Limestone,+34.810239°,–86.981400°
43,AL,Lowndes,+32.147888°,–86.650586°
44,AL,Macon,+32.387027°,–85.692887°
45,AL,Madison,+34.764238°,–86.551080°
46,AL,Marengo,+32.247591°,–87.791091°
47,AL,Marion,+34.138219°,–87.881551°
48,AL,Marshall,+34.309564°,–86.321668°
49,AL,Mobile,+30.684573°,–88.196568°
50,AL,Monroe,+31.580332°,–87.383266°
51,AL,Montgomery,+32.203651°,–86.203831°
52,AL,Morgan,+34.454484°,–86.846402°
53,AL,Perry,+32.639005°,–87.293827°
54,AL,Pickens,+33.296809°,–88.096878°
55,AL,Pike,+31.798726°,–85.941997°
56,AL,Randolph,+33.296475°,–85.464068°
57,AL,Russell,+32.289811°,–85.186980°
58,AL,St. Clair,+33.712963°,–86.315663°
59,AL,Shelby,+33.262937°,–86.678104°
60,AL,Sumter,+32.597481°,–88.200057°
61,AL,Talladega,+33.369277°,–86.175805°
62,AL,Tallapoosa,+32.863369°,–85.799553°
63,AL,Tuscaloosa,+33.290202°,–87.522860°
64,AL,Walker,+33.791571°,–87.301092°
65,AL,Washington,+31.406974°,–88.202078°
66,AL,Wilcox,+31.990330°,–87.302205°
67,AL,Winston,+34.155888°,–87.364147°
68,AK,Aleutians East,+55.243722°,–161.950749°
69,AK,Aleutians West [4],+51.959447°,–178.338813°
70,AK,Anchorage,+61.177549°,–149.274354°
71,AK,Bethel [4],+60.928916°,–160.153350°
72,AK,Bristol Bay,+58.731373°,–156.986612°
73,AK,Denali,+63.682732°,–150.026719°
74,AK,Dillingham [4],+59.824816°,–158.602233°
75,AK,Fairbanks North Star,+64.690832°,–146.599867°
76,AK,Haines,+59.099905°,–135.578102°
77,AK,Hoonah-Angoon [4],+58.076434°,–135.185100°
78,AK,Juneau,+58.372700°,–134.178781°
79,AK,Kenai Peninsula,+60.366373°,–152.321973°
80,AK,Ketchikan Gateway,+55.449938°,–131.106685°
81,AK,Kodiak Island,+57.553611°,–153.630911°
82,AK,Lake and Peninsula,+58.205065°,–156.705188°
83,AK,Matanuska-Susitna,+62.182174°,–149.407974°
84,AK,Nome [4],+64.783686°,–164.188912°
85,AK,North Slope,+69.449343°,–153.472830°
86,AK,Northwest Arctic,+67.005066°,–160.021086°
87,AK,Petersburg [4],+56.639612°,–133.527996°
88,AK,Prince of Wales-Hyder [4],+55.415683°,–132.875734°
89,AK,Sitka,+57.142509°,–135.332624°
90,AK,Skagway,+59.575097°,–135.335418°
91,AK,Southeast Fairbanks [4],+63.864997°,–143.218628°
92,AK,Valdez-Cordova [4],+61.349840°,–145.023141°
93,AK,Wade Hampton [4],+62.283174°,–163.190950°
94,AK,Wrangell,+56.279121°,–132.040326°
95,AK,Yakutat,+59.999083°,–140.239593°
96,AK,Yukon-Koyukuk [4],+65.376131°,–151.576855°
97,AZ,Apache,+35.385845°,–109.493747°
98,AZ,Cochise,+31.881793°,–109.754120°
99,AZ,Coconino,+35.829692°,–111.773728°
100,AZ,Gila,+33.789618°,–110.811870°
101,AZ,Graham,+32.931828°,–109.878310°
102,AZ,Greenlee,+33.238872°,–109.242323°
103,AZ,La Paz,+33.727625°,–114.038793°
104,AZ,Maricopa,+33.346541°,–112.495534°
105,AZ,Mohave,+35.717705°,–113.749689°
106,AZ,Navajo,+35.390934°,–110.320908°
107,AZ,Pima,+32.128237°,–111.783018°
108,AZ,Pinal,+32.918910°,–111.367257°
109,AZ,Santa Cruz,+31.525904°,–110.845190°
110,AZ,Yavapai,+34.630044°,–112.573745°
111,AZ,Yuma,+32.773942°,–113.910905°
112,AR,Arkansas,+34.289574°,–91.376547°
113,AR,Ashley,+33.190835°,–91.772267°
114,AR,Baxter,+36.280710°,–92.330438°
115,AR,Benton,+36.337825°,–94.256187°
116,AR,Boone,+36.304308°,–93.079204°
117,AR,Bradley,+33.463819°,–92.168164°
118,AR,Calhoun,+33.560460°,–92.513879°
119,AR,Carroll,+36.337774°,–93.541663°
120,AR,Chicot,+33.267139°,–91.297158°
121,AR,Clark,+34.053312°,–93.176205°
