"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",2.68,74,0.11,2.57
AL-003,"Baldwin County",1.75,36,-1.6,3.35
AL-005,"Barbour County",1.94,62,-0.58,2.52
AL-007,"Bibb County",2.78,73,-0.02,2.8
AL-009,"Blount County",2.34,52,-0.69,3.03
AL-011,"Bullock County",1.97,58,-0.64,2.61
AL-013,"Butler County",2.44,71,-0.1,2.54
AL-015,"Calhoun County",2.15,53,-0.66,2.81
AL-017,"Chambers County",2.34,60,-0.28,2.62
AL-019,"Cherokee County",2.41,54,-0.61,3.02
AL-021,"Chilton County",2.98,79,0.31,2.67
AL-023,"Choctaw County",3.21,86,0.5,2.71
AL-025,"Clarke County",2.71,75,0.05,2.66
AL-027,"Clay County",2.44,55,-0.42,2.86
AL-029,"Cleburne County",2.15,51,-0.72,2.87
AL-031,"Coffee County",2.67,73,0.03,2.64
AL-033,"Colbert County",2.56,62,-0.47,3.03
AL-035,"Conecuh County",2.18,63,-0.52,2.7
AL-037,"Coosa County",2.72,71,0.01,2.71
AL-039,"Covington County",2.18,60,-0.64,2.82
AL-041,"Crenshaw County",2.28,66,-0.26,2.54
AL-043,"Cullman County",3.0,72,-0.16,3.16
AL-045,"Dale County",2.66,73,0.08,2.58
AL-047,"Dallas County",3.37,87,0.75,2.62
AL-049,"DeKalb County",2.78,61,-0.4,3.18
AL-051,"Elmore County",2.27,67,-0.27,2.54
AL-053,"Escambia County",1.69,40,-1.27,2.96
AL-055,"Etowah County",2.3,50,-0.67,2.97
AL-057,"Fayette County",2.75,68,-0.29,3.04
AL-059,"Franklin County",2.78,68,-0.24,3.02
AL-061,"Geneva County",3.08,78,0.33,2.75
AL-063,"Greene County",2.75,81,0.02,2.73
AL-065,"Hale County",3.14,86,0.37,2.77
AL-067,"Henry County",2.31,70,-0.12,2.43
AL-069,"Houston County",2.96,82,0.4,2.56
AL-071,"Jackson County",2.34,45,-0.94,3.28
AL-073,"Jefferson County",2.67,65,-0.33,3
AL-075,"Lamar County",2.21,55,-0.7,2.91
AL-077,"Lauderdale County",2.47,57,-0.68,3.15
AL-079,"Lawrence County",2.62,66,-0.48,3.1
AL-081,"Lee County",2.13,62,-0.45,2.58
AL-083,"Limestone County",2.46,56,-0.68,3.14
AL-085,"Lowndes County",2.53,73,0.01,2.52
AL-087,"Macon County",1.89,57,-0.63,2.52
AL-089,"Madison County",2.35,48,-0.77,3.12
AL-091,"Marengo County",3.22,85,0.59,2.63
AL-093,"Marion County",2.67,66,-0.29,2.96
AL-095,"Marshall County",2.53,59,-0.52,3.05
AL-097,"Mobile County",2.21,51,-0.96,3.17
AL-099,"Monroe County",2.4,71,-0.23,2.63
AL-101,"Montgomery County",2.15,62,-0.32,2.47
AL-103,"Morgan County",2.66,63,-0.41,3.07
