"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",62.0,19,-2.6,64.6
AL-003,"Baldwin County",66.4,31,-1.6,68
AL-005,"Barbour County",63.3,21,-2.3,65.6
AL-007,"Bibb County",61.0,21,-2.6,63.6
AL-009,"Blount County",59.0,22,-2.5,61.5
AL-011,"Bullock County",62.3,17,-2.7,65
AL-013,"Butler County",61.8,14,-3.5,65.3
AL-015,"Calhoun County",59.3,24,-2.3,61.6
AL-017,"Chambers County",59.4,14,-3.0,62.4
AL-019,"Cherokee County",58.7,19,-2.7,61.4
AL-021,"Chilton County",61.3,25,-2.1,63.4
AL-023,"Choctaw County",62.8,23,-2.1,64.9
AL-025,"Clarke County",63.2,21,-2.3,65.5
AL-027,"Clay County",58.8,23,-2.6,61.4
AL-029,"Cleburne County",58.2,23,-2.4,60.6
AL-031,"Coffee County",63.1,13,-3.2,66.3
AL-033,"Colbert County",58.8,31,-1.9,60.7
AL-035,"Conecuh County",62.6,16,-3.5,66.1
AL-037,"Coosa County",60.5,22,-2.6,63.1
AL-039,"Covington County",63.3,15,-3.1,66.4
AL-041,"Crenshaw County",61.9,15,-3.4,65.3
AL-043,"Cullman County",58.5,20,-2.7,61.2
AL-045,"Dale County",63.7,16,-2.8,66.5
AL-047,"Dallas County",62.4,18,-2.6,65
AL-049,"DeKalb County",57.4,16,-2.9,60.3
AL-051,"Elmore County",61.7,19,-2.9,64.6
AL-053,"Escambia County",63.8,19,-2.9,66.7
AL-055,"Etowah County",59.3,23,-2.4,61.7
AL-057,"Fayette County",60.2,19,-2.5,62.7
AL-059,"Franklin County",58.8,30,-2.0,60.8
AL-061,"Geneva County",63.8,15,-3.1,66.9
AL-063,"Greene County",61.4,17,-3.3,64.7
AL-065,"Hale County",61.7,19,-2.9,64.6
AL-067,"Henry County",64.1,22,-2.4,66.5
AL-069,"Houston County",64.6,17,-2.8,67.4
AL-071,"Jackson County",57.4,12,-3.1,60.5
AL-073,"Jefferson County",59.8,20,-2.7,62.5
AL-075,"Lamar County",60.8,32,-2.0,62.8
AL-077,"Lauderdale County",57.8,21,-2.5,60.3
AL-079,"Lawrence County",58.1,17,-2.8,60.9
AL-081,"Lee County",60.7,12,-3.4,64.1
AL-083,"Limestone County",57.8,14,-3.0,60.8
AL-085,"Lowndes County",62.2,16,-3.1,65.3
AL-087,"Macon County",61.8,16,-3.2,65
