,State,Area_name,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,PCTPOVALL_2020,Population 2020,Population 2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020,Unemployment_rate_2020,Average Precipitation,Average Temperature,rent
2,AL,Autauga County,11.3,31.4,29.0,28.3,11.2,"58,805","59,095","67,565",125.2,5.4,2.57,64.6,9337.666666666666
3,AL,Baldwin County,9.5,27.2,31.4,31.9,8.9,"231,767","239,294","71,135",131.8,6.2,3.35,68.0,10482.466666666667
4,AL,Barbour County,25.3,35.7,27.4,11.6,25.5,"25,223","24,964","38,866",72.0,7.8,2.52,65.6,6431.266666666666
5,AL,Bibb County,19.1,45.1,24.5,11.3,17.8,"22,293","22,477","50,907",94.3,7.3,2.8,63.6,9625.666666666666
6,AL,Blount County,17.2,35.1,34.5,13.3,13.1,"59,134","59,041","55,203",102.3,4.6,3.03,61.5,9625.666666666666
7,AL,Bullock County,25.1,41.4,23.3,10.3,30.8,"10,357","10,320","33,124",61.4,6.0,2.61,65.0,6100.066666666667
8,AL,Butler County,13.6,46.5,23.9,16.0,20.6,"19,051","18,884","42,268",78.3,9.6,2.54,65.3,6515.266666666666
9,AL,Calhoun County,14.9,34.4,31.8,18.9,14.5,"116,441","115,972","50,259",93.1,7.8,2.81,61.6,6834.466666666666
10,AL,Chambers County,17.4,37.1,31.0,14.4,16.3,"34,772","34,541","39,318",72.9,7.5,2.62,62.4,6846.466666666666
11,AL,Cherokee County,17.2,39.2,30.7,12.9,14.7,"24,971","24,996","50,388",93.4,5.1,3.02,61.4,5980.066666666667
12,AL,Chilton County,18.2,43.3,24.8,13.6,13.9,"45,014","45,274","52,693",97.7,5.5,2.67,63.4,6916.066666666667
13,AL,Choctaw County,17.3,36.1,33.1,13.5,20.4,"12,665","12,533","41,649",77.2,7.4,2.71,64.9,6385.666666666667
14,AL,Clarke County,17.4,41.6,27.3,13.8,19.5,"23,087","22,760","44,178",81.9,9.9,2.66,65.5,6467.266666666666
15,AL,Clay County,18.7,40.0,29.5,11.8,14.2,"14,236","14,190","44,763",83.0,4.5,2.86,61.4,6916.066666666667
16,AL,Cleburne County,17.8,38.4,27.8,16.0,14.2,"15,056","15,103","50,134",92.9,5.1,2.87,60.6,6536.866666666667
17,AL,Coffee County,14.4,27.5,36.4,21.7,13.9,"53,465","54,174","54,203",100.5,4.9,2.64,66.3,7585.666666666667
18,AL,Colbert County,14.3,37.0,31.3,17.4,14.4,"57,227","57,474","54,185",100.4,7.3,3.03,60.7,7122.466666666666
19,AL,Conecuh County,15.0,46.7,24.4,13.8,22.9,"11,597","11,328","34,664",64.2,8.0,2.7,66.1,6169.666666666667
20,AL,Coosa County,16.8,42.0,29.6,11.6,17.4,"10,387","10,450","46,509",86.2,6.1,2.71,63.1,6577.666666666667
21,AL,Covington County,14.7,37.3,32.5,15.6,17.1,"37,570","37,524","43,544",80.7,5.5,2.82,66.4,6587.266666666666
22,AL,Crenshaw County,21.2,38.2,22.1,18.5,16.8,"13,194","13,083","45,927",85.1,6.3,2.54,65.3,6119.266666666666
23,AL,Cullman County,17.7,32.3,34.6,15.4,12.5,"87,866","89,496","51,844",96.1,4.8,3.16,61.2,6508.066666666667
24,AL,Dale County,14.7,30.9,36.2,18.2,15.5,"49,326","49,342","48,493",89.9,5.4,2.58,66.5,6671.266666666666
25,AL,Dallas County,16.1,36.2,31.1,16.6,26.7,"38,462","37,619","37,679",69.8,11.8,2.62,65.0,6114.466666666666
26,AL,DeKalb County,22.0,32.7,31.3,14.0,15.2,"71,608","71,813","47,156",87.4,5.0,3.18,60.3,6164.866666666667
27,AL,Elmore County,12.7,31.7,29.7,25.8,11.5,"87,977","89,304","62,524",115.9,5.3,2.54,64.6,9337.666666666666
28,AL,Escambia County,19.6,43.0,24.8,12.5,20.4,"36,757","36,699","41,212",76.4,6.8,2.96,66.7,6164.866666666667
29,AL,Etowah County,14.7,33.4,34.2,17.7,15.6,"103,436","103,162","47,872",88.7,8.5,2.97,61.7,6467.266666666666
30,AL,Fayette County,15.8,42.6,29.3,12.3,16.5,"16,321","16,148","45,937",85.1,5.6,3.04,62.7,6236.866666666667
31,AL,Franklin County,21.3,39.0,24.6,15.0,17.2,"32,113","32,013","40,448",75.0,5.0,3.02,60.8,6001.666666666667
32,AL,Geneva County,18.2,36.1,32.6,13.1,21.0,"26,659","26,701","39,882",73.9,4.6,2.75,66.9,6964.066666666667
33,AL,Greene County,19.1,39.9,30.9,10.1,27.9,"7,730","7,629","33,609",62.3,11.8,2.73,64.7,6340.066666666667
34,AL,Hale County,19.3,37.2,27.9,15.6,21.9,"14,785","14,754","41,836",77.5,10.3,2.77,64.6,8884.066666666668
35,AL,Henry County,19.5,32.3,29.3,18.9,16.2,"17,146","17,459","51,126",94.8,5.4,2.43,66.5,6661.666666666667
36,AL,Houston County,13.1,31.5,33.2,22.1,14.8,"107,202","107,458","54,391",100.8,6.0,2.56,67.4,6964.066666666667
37,AL,Jackson County,16.5,39.1,28.2,16.2,15.3,"52,579","52,773","46,606",86.4,5.9,3.28,60.5,6666.466666666666
38,AL,Jefferson County,9.5,26.3,30.1,34.1,14.4,"674,721","667,820","57,802",107.1,6.9,3.0,62.5,9625.666666666666
39,AL,Lamar County,17.0,41.0,30.6,11.3,17.4,"13,972","13,689","40,204",74.5,5.4,2.91,62.8,6517.666666666667
40,AL,Lauderdale County,11.4,34.9,28.7,25.1,13.9,"93,564","94,043","52,293",96.9,6.2,3.15,60.3,7122.466666666666
41,AL,Lawrence County,19.2,39.7,25.3,15.8,15.4,"33,073","33,090","48,924",90.7,5.5,3.1,60.9,6647.266666666666
42,AL,Lee County,9.6,22.3,31.6,36.4,17.9,"174,241","177,218","58,963",109.3,5.8,2.58,64.1,8852.866666666667
43,AL,Limestone County,14.7,29.3,31.0,24.9,10.4,"103,570","107,517","70,850",131.3,4.7,3.14,60.8,9296.866666666667
44,AL,Lowndes County,17.8,41.2,26.3,14.7,21.9,"10,311","9,965","37,499",69.5,14.5,2.52,65.3,9337.666666666666
45,AL,Macon County,16.4,30.6,32.5,20.5,27.9,"19,532","18,895","37,736",69.9,10.5,2.52,65.0,6529.666666666667
46,AL,Madison County,8.3,19.5,28.4,43.8,10.5,"388,153","395,211","67,810",125.7,5.1,3.12,60.9,9296.866666666667
47,AL,Marengo County,14.6,38.2,30.1,17.1,18.3,"19,323","18,996","43,198",80.1,6.9,2.63,65.0,6892.066666666667
48,AL,Marion County,18.9,34.5,33.3,13.3,16.8,"29,341","29,246","44,333",82.2,5.6,2.96,61.6,6472.066666666667
49,AL,Marshall County,16.7,31.1,31.6,20.7,15.4,"97,612","98,228","51,417",95.3,4.7,3.05,61.4,6174.466666666666
50,AL,Mobile County,12.7,33.5,29.4,24.4,17.6,"414,809","413,073","50,871",94.3,8.7,3.17,67.5,9212.866666666667
51,AL,Monroe County,16.5,46.0,23.9,13.5,22.5,"19,772","19,648","38,812",71.9,9.0,2.63,65.8,6119.266666666666
52,AL,Montgomery County,12.7,24.5,29.2,33.7,20.4,"228,954","227,434","49,607",91.9,8.6,2.47,65.2,9337.666666666666
53,AL,Morgan County,16.0,31.7,31.0,21.3,14.4,"123,421","123,668","55,688",103.2,5.0,3.07,61.2,6647.266666666666
54,AL,Perry County,21.6,36.1,24.4,17.8,30.7,"8,511","8,355","33,712",62.5,12.0,2.63,64.4,6289.666666666667
55,AL,Pickens County,17.1,39.0,29.4,14.4,22.7,"19,123","18,801","41,870",77.6,7.3,2.88,63.9,5994.466666666666
56,AL,Pike County,12.6,33.4,24.3,29.6,19.7,"33,009","32,991","43,141",80.0,5.5,2.59,65.5,6143.266666666666
57,AL,Randolph County,18.1,35.4,29.4,17.1,17.5,"21,967","21,989","46,679",86.5,5.3,2.82,61.2,6416.866666666667
58,AL,Russell County,14.7,29.7,38.1,17.5,20.3,"59,183","58,722","40,821",75.7,5.8,2.41,65.2,10062.466666666667
59,AL,St. Clair County,14.2,34.8,32.8,18.1,10.5,"91,103","92,748","61,973",114.9,5.4,2.97,61.8,9625.666666666666
60,AL,Shelby County,6.8,19.4,29.6,44.2,7.0,"223,024","226,902","88,444",163.9,4.2,2.91,62.7,9625.666666666666
61,AL,Sumter County,14.7,34.6,32.3,18.4,29.2,"12,345","12,164","32,275",59.8,7.7,2.7,64.6,7304.866666666667
62,AL,Talladega County,18.2,33.5,33.1,15.3,16.9,"82,149","81,524","44,802",83.0,7.8,2.76,62.3,6529.666666666667
63,AL,Tallapoosa County,18.8,32.9,29.5,18.8,15.2,"41,311","41,023","46,654",86.5,7.6,2.69,63.0,6623.266666666666
64,AL,Tuscaloosa County,10.5,28.9,29.4,31.1,14.4,"227,036","227,007","56,610",104.9,7.3,2.96,63.9,8884.066666666668
